DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
211404039;01/02/2021 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;12/29/2020 12:00:00 AM;730;14;1464;46;F;GARAGE/CARPORT                              ;500;IC
231411579;05/31/2023 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;02/20/2020 12:00:00 AM;1508;14;1469;40;M;SINGLE FAMILY DWELLING                      ;               ;IC
221417121;09/29/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;02/05/2020 12:00:00 AM;1200;14;1458;51;F;SINGLE FAMILY DWELLING                      ;               ;IC
231412012;06/08/2023 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;06/23/2020 12:00:00 AM;545;14;1479;30;F;SINGLE FAMILY DWELLING                      ;               ;IC
221413475;07/05/2022 12:00:00 AM;Pacific    ;RAPE, FORCIBLE                                          ;01/01/2020 12:00:00 AM;1;14;1458;10;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
221419816;12/01/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;12/01/2020 12:00:00 AM;900;14;1433;40;F;OTHER RESIDENCE                             ;               ;IC
241404545;01/12/2024 12:00:00 AM;Pacific    ;DOCUMENT FORGERY / STOLEN FELONY                        ;08/15/2020 12:00:00 AM;1400;14;1432;85;F;SINGLE FAMILY DWELLING                      ;               ;IC
221417581;10/11/2022 12:00:00 AM;Pacific    ;RAPE, FORCIBLE                                          ;01/01/2020 12:00:00 AM;1200;14;1453;14;F;SINGLE FAMILY DWELLING                      ;400;IC
221409118;04/11/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;04/25/2020 12:00:00 AM;1;14;1427;53;F;CYBERSPACE                                  ;               ;IC
221410631;05/11/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;08/11/2020 12:00:00 AM;1805;14;1472;38;F;OTHER PREMISE                               ;               ;IC
221405638;02/01/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;09/01/2020 12:00:00 AM;1425;14;1431;42;M;SINGLE FAMILY DWELLING                      ;               ;IC
221407878;03/19/2022 12:00:00 AM;Pacific    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;01/01/2020 12:00:00 AM;1;14;1409;2;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
231417189;09/08/2023 12:00:00 AM;Pacific    ;BURGLARY                                                ;10/20/2020 12:00:00 AM;1200;14;1464;30;M;SINGLE FAMILY DWELLING                      ;               ;IC
221420533;10/24/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;12/04/2020 12:00:00 AM;1030;14;1469;22;F;SINGLE FAMILY DWELLING                      ;               ;IC
221405912;02/08/2022 12:00:00 AM;Pacific    ;THEFT OF IDENTITY                                       ;09/08/2020 12:00:00 AM;1535;14;1454;31;F;SINGLE FAMILY DWELLING                      ;               ;IC
231406106;02/21/2023 12:00:00 AM;Pacific    ;ROBBERY                                                 ;01/01/2020 12:00:00 AM;1;14;1449;56;M;SINGLE FAMILY DWELLING                      ;400;IC
