DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
211912351;08/23/2021 12:00:00 AM;Mission    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;03/01/2020 12:00:00 AM;1200;19;1994;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;LANARK                       ST
211906386;03/08/2021 12:00:00 AM;Mission    ;CONTEMPT OF COURT                                       ;08/20/2020 12:00:00 AM;900;19;1967;45;M;SINGLE FAMILY DWELLING                      ;               ;AO;2;903;2038 0913 1813;H;501;;Adult Other;9500    WOODALE                      AV
221917817;12/12/2022 12:00:00 AM;Mission    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;11/08/2020 12:00:00 AM;305;19;1985;42;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;956;;W;501;;Invest Cont;8800    TOBIAS                       AV
221904163;01/05/2022 12:00:00 AM;Mission    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;11/17/2020 12:00:00 AM;1150;19;1931;82;M;HOSPITAL                                    ;               ;IC;1;341;0344;W;701;;Invest Cont;15000    RINALDI                      ST
231911053;06/29/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;11/18/2020 12:00:00 AM;1200;19;1979;44;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0930 1822;B;501;;Invest Cont;13000    RELIANCE                     ST
231906447;02/28/2023 12:00:00 AM;Mission    ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;02/17/2020 12:00:00 AM;1200;19;1974;3;M;SINGLE FAMILY DWELLING                      ;301;AA;2;627;0416 1258 0553;H;501;BELT FLAILING INSTRUMENT/CHAIN;Adult Arrest;9000    WILLIS                       AV
221908508;04/21/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;08/12/2020 12:00:00 AM;1200;19;1981;50;F;AUTO SALES LOT                              ;               ;IC;2;354;0377 1822;W;208;;Invest Cont;15500    ROSCOE                       BL
221910282;06/02/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;06/01/2020 12:00:00 AM;1200;19;1982;23;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0922;W;502;;Invest Cont;15300    RAYEN                        ST
231909660;05/23/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;05/23/2020 12:00:00 AM;2030;19;1934;49;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;;H;501;;Invest Cont;11100    ORION                        AV
211904165;01/05/2021 12:00:00 AM;Mission    ;ROBBERY                                                 ;12/31/2020 12:00:00 AM;2130;19;1993;51;M;STREET                                      ;400;IC;1;210;0342 1822 0416 0446 0344 0355 0354;H;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;ROSCOE                       BL
221904880;01/25/2022 12:00:00 AM;Mission    ;BATTERY WITH SEXUAL CONTACT                             ;06/01/2020 12:00:00 AM;1;19;1913;40;F;SINGLE FAMILY DWELLING                      ;400;AO;2;860;0522 0913 1817;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;14800    POLK                         ST
231906153;02/20/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;12/18/2020 12:00:00 AM;2151;19;1967;59;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;;H;501;;Invest Cont;9600    ELON                         AV
221907278;03/21/2022 12:00:00 AM;Mission    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;10/18/2020 12:00:00 AM;1400;19;1993;32;F;SINGLE FAMILY DWELLING                      ;400;AA;2;626;1814 2000 0429 0448 0913;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;8100    WISNER                       AV
221915679;10/13/2022 12:00:00 AM;Mission    ;CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT             ;01/01/2020 12:00:00 AM;1200;19;1959;7;M;VEHICLE, PASSENGER/TRUCK                    ;200;AA;1;235;0913 1817 1258 0411;H;122;KNIFE WITH BLADE 6INCHES OR LESS;Adult Arrest;9800    STANWIN                      AV
201917386;11/23/2020 12:00:00 AM;Mission    ;OTHER MISCELLANEOUS CRIME                               ;11/23/2020 12:00:00 AM;730;19;1959;65;F;STREET                                      ;               ;IC;2;946;1202;H;101;;Invest Cont;MERCER
221914445;09/14/2022 12:00:00 AM;Mission    ;BATTERY WITH SEXUAL CONTACT                             ;01/01/2020 12:00:00 AM;1200;19;1998;72;F;SINGLE FAMILY DWELLING                      ;400;AO;2;860;1202 0913 0448 0551;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;8100    TYRONE                       AV
221911305;06/27/2022 12:00:00 AM;Mission    ;RAPE, FORCIBLE                                          ;06/16/2020 12:00:00 AM;2200;19;1908;21;F;SINGLE FAMILY DWELLING                      ;400;IC;1;121;0527 0522 0537 0913 1814 2000;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;12900    ROMONT                       ST
