DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
230306105;02/09/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;02/09/2023 12:00:00 AM;1650;3;375;45;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
230309895;04/25/2023 12:00:00 AM;Southwest  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;04/12/2023 12:00:00 AM;853;3;328;22;X;DEPARTMENT STORE                            ;               ;IC
230305802;02/05/2023 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;02/05/2023 12:00:00 AM;1;3;313;66;F;SINGLE FAMILY DWELLING                      ;               ;IC
230316964;09/20/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;09/19/2023 12:00:00 AM;1500;3;392;0; ;STREET                                      ;               ;IC
230306711;02/21/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;02/20/2023 12:00:00 AM;1500;3;321;0; ;STREET                                      ;               ;IC
230312548;06/22/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;06/21/2023 12:00:00 AM;2200;3;379;0; ;STREET                                      ;               ;IC
230308493;03/28/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;03/28/2023 12:00:00 AM;2200;3;376;18;F;SINGLE FAMILY DWELLING                      ;400;IC
230308966;04/05/2023 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;04/04/2023 12:00:00 AM;615;3;327;23;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
230321243;12/15/2023 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;12/13/2023 12:00:00 AM;1500;3;328;0; ;STREET                                      ;               ;IC
230308622;03/31/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;03/31/2023 12:00:00 AM;2110;3;333;42;M;SIDEWALK                                    ;102;IC
230305114;01/23/2023 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;01/22/2023 12:00:00 AM;810;3;362;26;F;GARAGE/CARPORT                              ;               ;IC
230317067;09/21/2023 12:00:00 AM;Southwest  ;ROBBERY                                                 ;09/21/2023 12:00:00 AM;900;3;378;41;M;STREET                                      ;200;IC
230316262;09/07/2023 12:00:00 AM;Southwest  ;FAILURE TO YIELD                                        ;09/07/2023 12:00:00 AM;1515;3;333;22;X;STREET                                      ;               ;IC
230310265;05/01/2023 12:00:00 AM;Southwest  ;BUNCO, GRAND THEFT                                      ;04/01/2023 12:00:00 AM;1200;3;393;65;M;SINGLE FAMILY DWELLING                      ;               ;IC
230313335;07/08/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;07/08/2023 12:00:00 AM;1500;3;392;26;F;SINGLE FAMILY DWELLING                      ;400;IC
230307954;03/17/2023 12:00:00 AM;Southwest  ;ROBBERY                                                 ;03/17/2023 12:00:00 AM;1800;3;393;14;M;SIDEWALK                                    ;400;JA
230304926;01/19/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;01/19/2023 12:00:00 AM;2115;3;379;37;F;STREET                                      ;400;AA
230304753;01/17/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER            ;01/16/2023 12:00:00 AM;2340;3;374;22;X;PARKING LOT                                 ;307;IC
230312005;06/09/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;06/09/2023 12:00:00 AM;1630;3;353;55;F;MTA - EXPO LINE - FARMDALE                  ;200;IC
230320907;12/07/2023 12:00:00 AM;Southwest  ;BRANDISH WEAPON                                         ;12/07/2023 12:00:00 AM;155;3;318;24;F;STREET                                      ;106;IC
230316976;09/20/2023 12:00:00 AM;Southwest  ;RAPE, ATTEMPTED                                         ;09/20/2023 12:00:00 AM;915;3;397;15;F;STREET                                      ;400;AA
230313419;07/11/2023 12:00:00 AM;Southwest  ;ROBBERY                                                 ;07/11/2023 12:00:00 AM;1330;3;359;62;F;STREET                                      ;400;IC
230316394;08/13/2023 12:00:00 AM;Southwest  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;08/11/2023 12:00:00 AM;1430;3;327;23;M;FRAT HOUSE/SORORITY/DORMITORY               ;               ;IC
230307315;03/04/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;03/04/2023 12:00:00 AM;2200;3;379;14;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
230312877;06/21/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;06/12/2023 12:00:00 AM;1630;3;338;64;M;SINGLE FAMILY DWELLING                      ;               ;IC
230306336;02/15/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;02/13/2023 12:00:00 AM;430;3;312;0; ;STREET                                      ;               ;IC
