DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
200606238;02/16/2020 12:00:00 AM;Hollywood  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;02/15/2020 12:00:00 AM;2225;6;645;0;X;OTHER BUSINESS                              ;               ;IC
200618548;11/27/2020 12:00:00 AM;Hollywood  ;BATTERY - SIMPLE ASSAULT                                ;11/27/2020 12:00:00 AM;1000;6;638;22;M;OTHER BUSINESS                              ;400;AO
200608144;03/20/2020 12:00:00 AM;Hollywood  ;CONTEMPT OF COURT                                       ;03/20/2020 12:00:00 AM;315;6;656;24;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
200613632;08/07/2020 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/06/2020 12:00:00 AM;1700;6;666;34;F;VACANT LOT                                  ;400;IC
200606271;02/15/2020 12:00:00 AM;Hollywood  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;02/15/2020 12:00:00 AM;1700;6;648;21;M;STREET                                      ;               ;IC
200609390;04/22/2020 12:00:00 AM;Hollywood  ;VIOLATION OF RESTRAINING ORDER                          ;04/22/2020 12:00:00 AM;700;6;678;23;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
200606696;02/21/2020 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;02/21/2020 12:00:00 AM;2155;6;636;41;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);500;AO
200619386;12/18/2020 12:00:00 AM;Hollywood  ;VEHICLE - STOLEN                                        ;12/17/2020 12:00:00 AM;1530;6;628;0; ;GARAGE/CARPORT                              ;               ;IC
200615021;09/05/2020 12:00:00 AM;Hollywood  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;09/04/2020 12:00:00 AM;1815;6;647;30;M;STREET                                      ;               ;IC
210608844;04/23/2021 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;11/25/2020 12:00:00 AM;1130;6;663;45;M;SINGLE FAMILY DWELLING                      ;               ;IC
200615761;09/15/2020 12:00:00 AM;Hollywood  ;TRESPASSING                                             ;09/11/2020 12:00:00 AM;1900;6;676;0;X;SPECIALTY SCHOOL/OTHER                      ;               ;IC
200615237;09/11/2020 12:00:00 AM;Hollywood  ;BURGLARY                                                ;09/11/2020 12:00:00 AM;345;6;644;0;X;OTHER BUSINESS                              ;               ;IC
200611968;06/29/2020 12:00:00 AM;Hollywood  ;BURGLARY                                                ;06/29/2020 12:00:00 AM;515;6;635;32;F;SINGLE FAMILY DWELLING                      ;               ;IC
200609596;04/27/2020 12:00:00 AM;Hollywood  ;VIOLATION OF RESTRAINING ORDER                          ;04/27/2020 12:00:00 AM;1625;6;645;62;M;SINGLE FAMILY DWELLING                      ;               ;IC
200614900;09/04/2020 12:00:00 AM;Hollywood  ;VIOLATION OF COURT ORDER                                ;08/30/2020 12:00:00 AM;620;6;659;23;F;SIDEWALK                                    ;               ;IC
200604563;01/12/2020 12:00:00 AM;Hollywood  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;01/12/2020 12:00:00 AM;250;6;636;67;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
200619717;12/27/2020 12:00:00 AM;Hollywood  ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;12/27/2020 12:00:00 AM;1830;6;649;0;F;SIDEWALK                                    ;400;AA
200606237;02/16/2020 12:00:00 AM;Hollywood  ;THEFT OF IDENTITY                                       ;02/11/2020 12:00:00 AM;900;6;666;36;M;SINGLE FAMILY DWELLING                      ;               ;IC
200618562;11/27/2020 12:00:00 AM;Hollywood  ;OTHER MISCELLANEOUS CRIME                               ;11/27/2020 12:00:00 AM;2115;6;646;0;M;STREET                                      ;               ;IC
200608139;03/20/2020 12:00:00 AM;Hollywood  ;BURGLARY                                                ;03/19/2020 12:00:00 AM;900;6;663;39;F;OTHER BUSINESS                              ;               ;AA
200611286;06/08/2020 12:00:00 AM;Hollywood  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;05/19/2020 12:00:00 AM;1406;6;644;41;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
200618569;11/28/2020 12:00:00 AM;Hollywood  ;BURGLARY FROM VEHICLE                                   ;11/26/2020 12:00:00 AM;1900;6;615;32;F;PARKING LOT                                 ;               ;IC
200611866;06/27/2020 12:00:00 AM;Hollywood  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;03/01/2020 12:00:00 AM;1200;6;677;0; ;STREET                                      ;               ;IC
200604863;01/19/2020 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;01/19/2020 12:00:00 AM;1930;6;638;27;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
200609619;04/28/2020 12:00:00 AM;Hollywood  ;VEHICLE - STOLEN                                        ;04/10/2020 12:00:00 AM;2200;6;625;0; ;STREET                                      ;               ;IC
200612539;07/13/2020 12:00:00 AM;Hollywood  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;07/13/2020 12:00:00 AM;1140;6;646;0; ;STREET                                      ;               ;IC
200614126;08/16/2020 12:00:00 AM;Hollywood  ;BURGLARY FROM VEHICLE                                   ;08/16/2020 12:00:00 AM;500;6;639;27;M;PARKING UNDERGROUND/BUILDING                ;               ;IC
200619104;12/10/2020 12:00:00 AM;Hollywood  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/10/2020 12:00:00 AM;1600;6;644;49;F;SINGLE FAMILY DWELLING                      ;400;AO
200610722;05/28/2020 12:00:00 AM;Hollywood  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;05/28/2020 12:00:00 AM;1225;6;666;27;M;STREET                                      ;               ;IC
200618001;11/14/2020 12:00:00 AM;Hollywood  ;BURGLARY                                                ;11/14/2020 12:00:00 AM;545;6;663;0;X;OTHER BUSINESS                              ;500;IC
200619833;12/31/2020 12:00:00 AM;Hollywood  ;VEHICLE - STOLEN                                        ;12/30/2020 12:00:00 AM;1800;6;627;0; ;STREET                                      ;               ;IC
200611688;06/22/2020 12:00:00 AM;Hollywood  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;06/22/2020 12:00:00 AM;2045;6;646;56;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
