DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
232012540;07/05/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;07/05/2023 12:00:00 AM;2330
232005015;01/28/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;01/27/2023 12:00:00 AM;1445
232010554;05/22/2023 12:00:00 AM;Olympic    ;DISTURBING THE PEACE                                    ;05/21/2023 12:00:00 AM;2005
232012030;06/25/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;06/24/2023 12:00:00 AM;2100
232008407;02/09/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;02/07/2023 12:00:00 AM;8
232006087;02/21/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;02/20/2023 12:00:00 AM;430
232012994;07/18/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/18/2023 12:00:00 AM;345
232016604;10/14/2023 12:00:00 AM;Olympic    ;TRESPASSING                                             ;10/14/2023 12:00:00 AM;830
232016951;10/23/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;10/22/2023 12:00:00 AM;2200
232008730;04/25/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;04/25/2023 12:00:00 AM;2215
232005118;01/31/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;01/30/2023 12:00:00 AM;1900
232007272;03/22/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;03/07/2023 12:00:00 AM;1200
232014110;08/13/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/13/2023 12:00:00 AM;2150
232018446;11/27/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;11/27/2023 12:00:00 AM;1630
232009185;05/03/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;05/03/2023 12:00:00 AM;1330
232000633;03/14/2023 12:00:00 AM;Olympic    ;DISCHARGE FIREARMS/SHOTS FIRED                          ;03/14/2023 12:00:00 AM;433
232000514;01/05/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;01/05/2023 12:00:00 AM;1930
232013308;07/26/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;07/26/2023 12:00:00 AM;1210
232004922;01/27/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;01/23/2023 12:00:00 AM;1830
232005661;02/11/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;02/11/2023 12:00:00 AM;1540
232011001;06/02/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;05/29/2023 12:00:00 AM;2100
232015606;09/18/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;09/17/2023 12:00:00 AM;800
232013693;08/05/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;08/04/2023 12:00:00 AM;2335
232014312;08/19/2023 12:00:00 AM;Olympic    ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);08/10/2023 12:00:00 AM;2200
232011272;06/08/2023 12:00:00 AM;Olympic    ;TRESPASSING                                             ;06/08/2023 12:00:00 AM;2008
232019093;12/11/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;12/11/2023 12:00:00 AM;1750
232018720;12/01/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;12/01/2023 12:00:00 AM;1
232014979;09/03/2023 12:00:00 AM;Olympic    ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;09/03/2023 12:00:00 AM;1300
232004728;01/18/2023 12:00:00 AM;Olympic    ;ATTEMPTED ROBBERY                                       ;01/18/2023 12:00:00 AM;1920
232010632;05/22/2023 12:00:00 AM;Olympic    ;THEFT, PERSON                                           ;05/22/2023 12:00:00 AM;550
232016123;10/03/2023 12:00:00 AM;Olympic    ;BRANDISH WEAPON                                         ;09/12/2023 12:00:00 AM;1920
232008377;02/08/2023 12:00:00 AM;Olympic    ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;02/07/2023 12:00:00 AM;1959
232016547;08/30/2023 12:00:00 AM;Olympic    ;BIKE - STOLEN                                           ;08/30/2023 12:00:00 AM;645
232019291;12/08/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;11/25/2023 12:00:00 AM;2100
