DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
220508966;05/09/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;10/28/2020 12:00:00 AM;815
220515869;11/11/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;11/06/2020 12:00:00 AM;1200
220511322;06/29/2022 12:00:00 AM;Harbor     ;FALSE POLICE REPORT                                     ;03/01/2020 12:00:00 AM;1200
230516031;11/21/2023 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;11/21/2020 12:00:00 AM;320
220505776;02/14/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;11/04/2020 12:00:00 AM;1150
220506283;03/01/2022 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        ;01/01/2020 12:00:00 AM;1200
220505521;02/08/2022 12:00:00 AM;Harbor     ;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                ;10/01/2020 12:00:00 AM;1
210505803;02/15/2021 12:00:00 AM;Harbor     ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;11/01/2020 12:00:00 AM;1
230516282;11/28/2023 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/18/2020 12:00:00 AM;1200
230504426;01/10/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;10/31/2020 12:00:00 AM;1400
220512200;08/05/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;08/05/2020 12:00:00 AM;1640
220504759;01/20/2022 12:00:00 AM;Harbor     ;BURGLARY                                                ;01/19/2020 12:00:00 AM;500
220513949;09/20/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;08/12/2020 12:00:00 AM;800
220510809;06/30/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;06/22/2020 12:00:00 AM;1220
220515053;10/19/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/10/2020 12:00:00 AM;1500
230506258;03/01/2023 12:00:00 AM;Harbor     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;07/22/2020 12:00:00 AM;2000
220509311;05/19/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;12/17/2020 12:00:00 AM;2210
210505151;12/18/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;12/18/2020 12:00:00 AM;1019
