DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
201113535;09/13/2020 12:00:00 AM;Northeast  ;VEHICLE - STOLEN                                        ;09/13/2020 12:00:00 AM;1;11;1137;0; ;GARAGE/CARPORT                              ;               ;IC;1;510;;;707;;Invest Cont;5100    GRANADA                      ST
201116253;12/02/2020 12:00:00 AM;Northeast  ;BURGLARY FROM VEHICLE                                   ;12/01/2020 12:00:00 AM;1830;11;1145;34;F;STREET                                      ;               ;IC;1;330;0358 1607 0344 1822;W;101;;Invest Cont;WALCOTT                      WY
201113663;09/16/2020 12:00:00 AM;Northeast  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;09/15/2020 12:00:00 AM;1702;11;1128;0;X;DRUG STORE                                  ;               ;IC;1;440;0344;X;403;;Invest Cont;6300    YORK                         BL
201109099;05/06/2020 12:00:00 AM;Northeast  ;VIOLATION OF COURT ORDER                                ;05/06/2020 12:00:00 AM;1810;11;1158;75;F;SINGLE FAMILY DWELLING                      ;               ;AO;2;900;2038 1202 0421;H;501;;Adult Other;1100    ISABEL                       ST
201111737;07/22/2020 12:00:00 AM;Northeast  ;VIOLATION OF TEMPORARY RESTRAINING ORDER                ;07/21/2020 12:00:00 AM;1840;11;1145;30;F;SINGLE FAMILY DWELLING                      ;               ;AO;2;902;1822 0432 2038;A;501;;Adult Other;2200    LOMA VISTA                   PL
201113271;09/04/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;09/03/2020 12:00:00 AM;1800;11;1169;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;5200    GLEN ELLEN                   PL
201111470;07/15/2020 12:00:00 AM;Northeast  ;BURGLARY FROM VEHICLE                                   ;07/15/2020 12:00:00 AM;900;11;1101;60;F;PARK/PLAYGROUND                             ;500;IC;1;330;0358 1307 0344;H;109;UNKNOWN WEAPON/OTHER WEAPON;Invest Cont;4700    CRYSTAL SPRINGS              DR
201104700;01/17/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/16/2020 12:00:00 AM;1600;11;1148;52;M;STREET                                      ;               ;IC;1;420;0344;H;101;;Invest Cont;800    EL PASO                      DR
201107504;03/18/2020 12:00:00 AM;Northeast  ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;03/18/2020 12:00:00 AM;700;11;1169;31;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;1;236;2000 0400 0408 1814 0913;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;400 S  AVENUE 56
201100641;05/02/2020 12:00:00 AM;Northeast  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;05/01/2020 12:00:00 AM;1950;11;1118;33;F;STREET                                      ;102;AO;1;230;0906 1822 0312 0302 1805 1809 1270 1300 1816 0329;H;101;HAND GUN;Adult Other;N  AVENUE 56
201110660;06/21/2020 12:00:00 AM;Northeast  ;VEHICLE - STOLEN                                        ;06/21/2020 12:00:00 AM;1000;11;1136;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;3800 W  AVENUE 42
201110089;06/04/2020 12:00:00 AM;Northeast  ;BURGLARY, ATTEMPTED                                     ;06/04/2020 12:00:00 AM;1150;11;1118;50;M;GARAGE/CARPORT                              ;               ;IC;1;320;1607 0329;H;707;;Invest Cont;5600    HUB                          ST
201110443;06/15/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;06/13/2020 12:00:00 AM;2120;11;1136;43;M;PARK/PLAYGROUND                             ;               ;IC;1;331;1602 0344 0385;H;109;;Invest Cont;4200    EAGLE ROCK                   BL
201111912;07/28/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;07/27/2020 12:00:00 AM;1310;11;1144;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;2900    ROWENA                       AV
201115226;10/29/2020 12:00:00 AM;Northeast  ;VEHICLE - STOLEN                                        ;10/29/2020 12:00:00 AM;530;11;1177;0; ;PARKING LOT                                 ;               ;IC;1;510;;;108;;Invest Cont;2200 N  FIGUEROA                     ST
201109228;05/11/2020 12:00:00 AM;Northeast  ;BURGLARY                                                ;05/10/2020 12:00:00 AM;2120;11;1136;34;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;310;0321 0344 1601 0216;H;501;;Invest Cont;1000    TERRACE 49
201105083;01/26/2020 12:00:00 AM;Northeast  ;BURGLARY                                                ;01/25/2020 12:00:00 AM;2200;11;1139;74;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;310;1607 0344 2034;W;502;;Invest Cont;6000    HAYES                        AV
201112891;08/26/2020 12:00:00 AM;Northeast  ;VEHICLE - STOLEN                                        ;08/15/2020 12:00:00 AM;1600;11;1152;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;4000    CUMBERLAND                   AV
201111784;07/24/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;07/23/2020 12:00:00 AM;950;11;1179;43;M;PARKING LOT                                 ;               ;IC;1;331;0344 0385 1300 0216 0342;O;108;;Invest Cont;3500    PASADENA                     AV
201114380;10/06/2020 12:00:00 AM;Northeast  ;OTHER MISCELLANEOUS CRIME                               ;09/25/2020 12:00:00 AM;1800;11;1141;52;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;946;1501 0603;W;501;;Invest Cont;1900    PALMERSTON                   PL
201116910;12/23/2020 12:00:00 AM;Northeast  ;VEHICLE - STOLEN                                        ;12/23/2020 12:00:00 AM;1315;11;1181;0; ;PARKING LOT                                 ;               ;IC;1;510;;;108;;Invest Cont;1300 N  ALVARADO                     ST
201104998;01/24/2020 12:00:00 AM;Northeast  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;01/23/2020 12:00:00 AM;259;11;1142;55;M;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;740;0329 1300 1609;W;122;;Invest Cont;4500    RUSSELL                      AV
201111442;07/15/2020 12:00:00 AM;Northeast  ;BRANDISH WEAPON                                         ;07/13/2020 12:00:00 AM;740;11;1151;60;M;SIDEWALK                                    ;204;IC;1;761;0334 1822 2004 1218;B;102;FOLDING KNIFE;Invest Cont;HOLLYWOOD
201109120;05/07/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;05/07/2020 12:00:00 AM;700;11;1161;0; ;STREET                                      ;               ;AO;1;420;;;101;;Adult Other;FOUNTAIN
