DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
220106667;02/15/2022 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;02/06/2020 12:00:00 AM;1000;1;153;61;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0935 0361;B;502;;Invest Cont;500 S  SPRING                       ST
220111693;02/09/2022 12:00:00 AM;Central    ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;05/28/2020 12:00:00 AM;900;1;124;-1;X;OTHER BUSINESS                              ;               ;IC;2;845;;X;203;;Invest Cont;100 W  1ST                          ST
220116792;07/22/2022 12:00:00 AM;Central    ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;06/19/2020 12:00:00 AM;1200;1;155;-1;X;POLICE FACILITY                             ;               ;IC;2;845;1501;X;726;;Invest Cont;200 E  6TH                          ST
230109313;03/25/2023 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;02/25/2020 12:00:00 AM;1045;1;162;27;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;1822 0928;O;502;;Invest Cont;800 S  HOPE                         ST
220107648;03/03/2022 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;07/31/2020 12:00:00 AM;900;1;119;41;M;POST OFFICE                                 ;               ;IC;2;354;1822 0100;B;732;;Invest Cont;1000 N  VIGNES                       ST
240104307;10/27/2023 12:00:00 AM;Central    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/13/2020 12:00:00 AM;1300;1;132;24;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;626;2000 0913 0527 0347;W;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;200 S  OLIVE                        ST
220107986;03/09/2022 12:00:00 AM;Central    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;11/20/2020 12:00:00 AM;2300;1;182;22;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;626;0416 2000 0913;W;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;1200 S  FIGUEROA                     ST
220114809;06/23/2022 12:00:00 AM;Central    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;03/23/2020 12:00:00 AM;1630;1;154;0;X;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;745;0329 1822;X;122;;Invest Cont;5TH
230115740;07/03/2023 12:00:00 AM;Central    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;03/01/2020 12:00:00 AM;600;1;164;27;M;OTHER RESIDENCE                             ;               ;IC;2;956;0906 1822;B;504;;Invest Cont;600 S  MAIN                         ST
220124216;11/07/2022 12:00:00 AM;Central    ;OTHER MISCELLANEOUS CRIME                               ;12/09/2020 12:00:00 AM;2100;1;182;19;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AO;2;946;0913 0533 0527;H;502;;Adult Other;1200 S  FIGUEROA                     ST
220113458;06/02/2022 12:00:00 AM;Central    ;THEFT OF IDENTITY                                       ;05/29/2020 12:00:00 AM;611;1;157;38;M;OTHER RESIDENCE                             ;               ;IC;2;354;0344 0929 0930;B;504;;Invest Cont;500 E  6TH                          ST
