DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
200317128;09/10/2020 12:00:00 AM;Southwest  ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;09/10/2020 12:00:00 AM;1930
200320465;11/16/2020 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;11/15/2020 12:00:00 AM;1000
200300601;03/19/2020 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;03/18/2020 12:00:00 AM;1200
200313886;07/09/2020 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/09/2020 12:00:00 AM;315
200314030;07/11/2020 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;07/11/2020 12:00:00 AM;1500
200304179;01/04/2020 12:00:00 AM;Southwest  ;ROBBERY                                                 ;01/04/2020 12:00:00 AM;147
200306662;02/14/2020 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;02/04/2020 12:00:00 AM;2330
200313179;06/25/2020 12:00:00 AM;Southwest  ;VEHICLE - ATTEMPT STOLEN                                ;06/24/2020 12:00:00 AM;1900
200305373;01/24/2020 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/24/2020 12:00:00 AM;1330
200305663;01/28/2020 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;01/28/2020 12:00:00 AM;1310
200300943;12/17/2020 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;12/17/2020 12:00:00 AM;550
200313965;07/10/2020 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;07/03/2020 12:00:00 AM;2300
200322320;12/27/2020 12:00:00 AM;Southwest  ;VIOLATION OF RESTRAINING ORDER                          ;12/27/2020 12:00:00 AM;2030
200315742;08/14/2020 12:00:00 AM;Southwest  ;BURGLARY                                                ;08/12/2020 12:00:00 AM;2100
