DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
212113228;08/29/2021 12:00:00 AM;Topanga    ;BURGLARY FROM VEHICLE                                   ;08/28/2021 12:00:00 AM;1750;21;2136;45;M;PARKING LOT                                 ;               ;IC
212117800;12/20/2021 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;12/14/2021 12:00:00 AM;516;21;2141;21;F;SINGLE FAMILY DWELLING                      ;               ;IC
212116635;11/19/2021 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;11/18/2021 12:00:00 AM;2030;21;2185;0; ;STREET                                      ;               ;IC
212107669;04/12/2021 12:00:00 AM;Topanga    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;04/12/2021 12:00:00 AM;1318;21;2156;40;F;PARKING LOT                                 ;               ;JO
212108454;05/04/2021 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;05/03/2021 12:00:00 AM;1100;21;2138;0; ;STREET                                      ;               ;IC
212106853;03/22/2021 12:00:00 AM;Topanga    ;BRANDISH WEAPON                                         ;03/22/2021 12:00:00 AM;1807;21;2118;20;M;STREET                                      ;106;IC
212116388;11/05/2021 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;11/04/2021 12:00:00 AM;1730;21;2141;27;M;GAS STATION                                 ;500;AO
212104641;01/19/2021 12:00:00 AM;Topanga    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;01/19/2021 12:00:00 AM;2225;21;2158;46;F;SINGLE FAMILY DWELLING                      ;               ;IC
222105061;01/31/2022 12:00:00 AM;Topanga    ;DOCUMENT FORGERY / STOLEN FELONY                        ;10/19/2021 12:00:00 AM;1;21;2142;46;M;POST OFFICE                                 ;               ;IC
212116238;11/08/2021 12:00:00 AM;Topanga    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;11/08/2021 12:00:00 AM;1320;21;2158;39;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
212106120;03/02/2021 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;03/02/2021 12:00:00 AM;1640;21;2177;16;M;PARKING UNDERGROUND/BUILDING                ;400;IC
212114742;10/03/2021 12:00:00 AM;Topanga    ;BURGLARY FROM VEHICLE                                   ;10/02/2021 12:00:00 AM;1250;21;2138;23;M;PARKING LOT                                 ;               ;IC
212107802;04/16/2021 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;04/14/2021 12:00:00 AM;2200;21;2158;0; ;PARKING LOT                                 ;               ;IC
212104838;01/25/2021 12:00:00 AM;Topanga    ;BURGLARY FROM VEHICLE                                   ;01/24/2021 12:00:00 AM;1830;21;2146;42;M;PARKING LOT                                 ;               ;IC
212112918;08/21/2021 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;08/21/2021 12:00:00 AM;1200;21;2126;33;F;SINGLE FAMILY DWELLING                      ;400;AO
212116141;11/05/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;11/05/2021 12:00:00 AM;900;21;2173;46;F;SINGLE FAMILY DWELLING                      ;               ;IC
212107486;04/08/2021 12:00:00 AM;Topanga    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;04/07/2021 12:00:00 AM;1500;21;2187;71;M;PARKING LOT                                 ;               ;IC
212109724;06/04/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;06/03/2021 12:00:00 AM;2100;21;2126;76;M;GARAGE/CARPORT                              ;               ;IC
212116112;11/05/2021 12:00:00 AM;Topanga    ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;11/05/2021 12:00:00 AM;1138;21;2175;47;M;GAS STATION                                 ;               ;IC
212115774;10/29/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;10/28/2021 12:00:00 AM;1700;21;2175;0; ;STREET                                      ;               ;IC
212106721;03/18/2021 12:00:00 AM;Topanga    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;03/18/2021 12:00:00 AM;1900;21;2102;44;F;SINGLE FAMILY DWELLING                      ;400;IC
212112830;08/20/2021 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;08/19/2021 12:00:00 AM;2200;21;2149;0; ;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AA
212108785;05/12/2021 12:00:00 AM;Topanga    ;VIOLATION OF TEMPORARY RESTRAINING ORDER                ;04/26/2021 12:00:00 AM;2030;21;2155;26;M;OPTICAL OFFICE INSIDE STORE OR SUPERMARKET* ;               ;IC
212104480;01/15/2021 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;01/15/2021 12:00:00 AM;1010;21;2138;24;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
212111976;07/29/2021 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;07/27/2021 12:00:00 AM;1200;21;2146;23;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
212106357;03/08/2021 12:00:00 AM;Topanga    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;03/06/2021 12:00:00 AM;1800;21;2187;35;M;GARAGE/CARPORT                              ;               ;IC
212105251;02/07/2021 12:00:00 AM;Topanga    ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;02/07/2021 12:00:00 AM;1130;21;2169;14;M;SINGLE FAMILY DWELLING                      ;400;AA
212106224;03/05/2021 12:00:00 AM;Topanga    ;BURGLARY FROM VEHICLE                                   ;03/05/2021 12:00:00 AM;1300;21;2196;54;F;PARKING LOT                                 ;               ;IC
212118075;12/28/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;12/27/2021 12:00:00 AM;2000;21;2111;50;M;DRIVEWAY                                    ;               ;IC
222104189;01/05/2022 12:00:00 AM;Topanga    ;BURGLARY                                                ;12/24/2021 12:00:00 AM;2100;21;2134;76;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
212109981;06/10/2021 12:00:00 AM;Topanga    ;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)                ;06/08/2021 12:00:00 AM;1550;21;2187;58;F;OTHER BUSINESS                              ;               ;IC
212114982;10/09/2021 12:00:00 AM;Topanga    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;10/09/2021 12:00:00 AM;1830;21;2189;41;M;GROUP HOME                                  ;               ;JA
212108359;04/30/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;04/30/2021 12:00:00 AM;2000;21;2129;46;F;SINGLE FAMILY DWELLING                      ;500;IC
212100557;02/14/2021 12:00:00 AM;Topanga    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;02/14/2021 12:00:00 AM;230;21;2185;19;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);212;AO
