DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
221416680;09/19/2022 12:00:00 AM;Pacific    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;09/19/2022 12:00:00 AM;1845;14;1431;72;M;BEACH                                       ;400;IC;1;230;0400 0429 1822 1309;W;117;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1800    OCEAN FRONT                  WK
221419970;10/26/2022 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;10/23/2022 12:00:00 AM;1800;14;1437;52;F;STREET                                      ;               ;IC;1;331;0344 0385;W;101;;Invest Cont;3600    GREENFIELD                   AV
221420889;12/08/2022 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;12/08/2022 12:00:00 AM;2110;14;1464;22;F;STREET                                      ;               ;IC;1;330;0344 1300;O;101;;Invest Cont;12600    MILLENNIUM                   DR
221412901;06/24/2022 12:00:00 AM;Pacific    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     ;06/19/2022 12:00:00 AM;500;14;1407;19;F;SINGLE FAMILY DWELLING                      ;400;IC;1;815;0913 1501 0500;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;3400    CLARINGTON                   AV
221408679;04/03/2022 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;03/28/2022 12:00:00 AM;730;14;1488;36;M;PARKING UNDERGROUND/BUILDING                ;               ;IC;1;330;1300 0344;W;123;;Invest Cont;5700 W  CENTURY                      BL
221413348;07/03/2022 12:00:00 AM;Pacific    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;07/03/2022 12:00:00 AM;745;14;1444;51;M;OTHER BUSINESS                              ;               ;IC;2;740;0329 1300;W;203;;Invest Cont;4200    DEL REY                      AV
221420253;12/10/2022 12:00:00 AM;Pacific    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;08/20/2022 12:00:00 AM;2230;14;1483;72;M;YARD (RESIDENTIAL/BUSINESS)                 ;               ;IC;2;740;0329 1202;W;121;;Invest Cont;7300 W  87TH                         PL
221421088;12/17/2022 12:00:00 AM;Pacific    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;12/01/2022 12:00:00 AM;1120;14;1431;32;M;HOTEL                                       ;               ;IC;1;440;0344;H;503;;Invest Cont;00    WINDWARD                     AV
221405896;02/08/2022 12:00:00 AM;Pacific    ;BURGLARY                                                ;02/08/2022 12:00:00 AM;2030;14;1446;0;X;CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEM;               ;IC;1;310;0314 1609;X;708;;Invest Cont;12100    PACIFIC                      AV
221420002;10/15/2022 12:00:00 AM;Pacific    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;10/14/2022 12:00:00 AM;2130;14;1483;34;F;STREET                                      ;               ;IC;1;331;0344 0385;W;101;;Invest Cont;7700    PASEO DEL REY
221408897;04/07/2022 12:00:00 AM;Pacific    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;04/05/2022 12:00:00 AM;1537;14;1456;45;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AO;1;440;0344 0394;W;502;;Adult Other;11900    COURTLEIGH                   DR
221416971;09/04/2022 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;09/04/2022 12:00:00 AM;1048;14;1403;37;M;GARAGE/CARPORT                              ;               ;IC;1;330;1607 0344 1300;W;707;;Invest Cont;2900 S  SEPULVEDA                    BL
221417520;10/10/2022 12:00:00 AM;Pacific    ;BURGLARY FROM VEHICLE                                   ;10/09/2022 12:00:00 AM;2200;14;1483;42;F;GARAGE/CARPORT                              ;               ;IC;1;330;0344 1300 1609;W;707;;Invest Cont;8500    FALMOUTH                     AV
221414025;07/20/2022 12:00:00 AM;Pacific    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;07/13/2022 12:00:00 AM;1200;14;1457;35;F;PARKING LOT                                 ;400;IC;2;626;2000 0400 0419 1814 0913;B;108;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;CENTINELA
221414554;08/02/2022 12:00:00 AM;Pacific    ;CHILD NEGLECT (SEE 300 W.I.C.)                          ;08/02/2022 12:00:00 AM;335;14;1415;0;M;MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/R;               ;AO;2;237;1501;W;509;;Adult Other;LINCOLN
221408442;03/29/2022 12:00:00 AM;Pacific    ;TRESPASSING                                             ;03/29/2022 12:00:00 AM;1535;14;1494;0;X;TRANSPORTATION FACILITY (AIRPORT)           ;               ;IC;2;888;2004;X;212;;Invest Cont;300    WORLD WAY
221408546;03/14/2022 12:00:00 AM;Pacific    ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);03/14/2022 12:00:00 AM;1700;14;1441;38;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;522;0344;W;502;;Invest Cont;WASHINGTON
221407840;03/18/2022 12:00:00 AM;Pacific    ;BURGLARY                                                ;03/17/2022 12:00:00 AM;830;14;1437;28;F;SINGLE FAMILY DWELLING                      ;               ;IC;1;310;1606 0344;H;501;;Invest Cont;3500    GREENFIELD                   AV
221404742;01/18/2022 12:00:00 AM;Pacific    ;BURGLARY                                                ;01/16/2022 12:00:00 AM;2000;14;1444;78;M;GARAGE/CARPORT                              ;               ;IC;1;310;0344 1300 1606;W;707;;Invest Cont;800    OXFORD                       AV
