n,source,target,time_dijkstra (seconds),dist_dijkstra (euclidean_distance),time_turbo (seconds),dist_turbo (euclidean_distance),ok_same_distance,graph_size,graph_id,seed
500,455,403,0.00200679997215047479,1.26320417642333415742,0.03326460003154352307,1.26320417642333415742,True,500,4,2080
500,19,245,0.00196520000463351607,1.05164918373012805652,0.03165640000952407718,1.05164918373012805652,True,500,5,2081
500,28,411,0.00189479999244213104,0.79618708172637076004,0.03304730000672861934,0.79618708172637076004,True,500,6,2082
500,139,71,0.00257800001418218017,1.10198471713770973501,0.03146189998369663954,1.10198471713770973501,True,500,7,2083
500,68,112,0.00191939994692802429,0.94704824958933819801,0.03314210003009065986,0.94704824958933819801,True,500,8,2084
500,67,386,0.00199889997020363808,1.25658040685443150863,0.03191289998358115554,1.25658040685443150863,True,500,9,2085
500,78,184,0.00202640000497922301,1.29407907925021525841,0.03233190003084018826,1.29407907925021525841,True,500,10,2086
500,485,464,0.00199260003864765167,1.05309927986991769266,0.03231029998278245330,1.05309927986991769266,True,500,11,2087
500,260,492,0.00201340002240613103,0.78948128781535142906,0.03278329997556284070,0.78948128781535142906,True,500,12,2088
500,160,394,0.00203690002672374249,1.07798242838042690472,0.03176129999337717891,1.07798242838042690472,True,500,13,2089
500,170,454,0.00266440003179013729,1.16050114954623828645,0.03199439996387809515,1.16050114954623828645,True,500,14,2090
500,286,459,0.00191670004278421402,0.83637529010870936830,0.03186899999855086207,0.83637529010870936830,True,500,15,2091
500,303,128,0.00196969998069107533,1.07866116767619990569,0.03251630003796890378,1.07866116767619990569,True,500,16,2092
500,210,342,0.00197609997121617198,1.01214356703147911887,0.03147220000391826034,1.01214356703147911887,True,500,17,2093
500,357,420,0.00203729997156187892,1.07377966598352236893,0.03243900003144517541,1.07377966598352236893,True,500,18,2094
500,160,155,0.00206110003637149930,0.86066054440343120469,0.03222379996441304684,0.86066054440343120469,True,500,19,2095
500,345,390,0.00201960001140832901,1.13929685388278545410,0.03228749998379498720,1.13929685388278545410,True,500,20,2096
500,423,366,0.00348069996107369661,0.82463155343096006256,0.03497300000162795186,0.82463155343096006256,True,500,21,2097
500,429,317,0.00208329997258260846,1.22611817054457294951,0.03313350002281367779,1.22611817054457294951,True,500,22,2098
500,458,404,0.00201679999008774757,1.05250789994122961879,0.03213020000839605927,1.05250789994122961879,True,500,23,2099
500,488,479,0.00203589996090158820,1.04153187010046299754,0.03315720002865418792,1.04153187010046299754,True,500,24,2100
500,441,205,0.00200770003721117973,0.85099906860104423956,0.03375669999513775110,0.85099906860104423956,True,500,25,2101
500,97,81,0.00198190001538023353,0.83073801758256571315,0.03578369994647800922,0.83073801758256571315,True,500,26,2102
500,0,472,0.00200530001893639565,0.89261579167418458880,0.03243959997780621052,0.89261579167418458880,True,500,27,2103
500,421,309,0.00198180001461878419,0.85823594204951048070,0.03352250001626089215,0.85823594204951048070,True,500,28,2104
500,251,9,0.00298130000010132790,0.77484627369838343647,0.04586610000114887953,0.77484627369838343647,True,500,29,2105
500,331,332,0.00277560000540688634,0.92392451493534899498,0.04962830001022666693,0.92392451493534899498,True,500,30,2106
500,91,355,0.00290040002437308431,1.09426912337711468304,0.04191570001421496272,1.09426912337711468304,True,500,31,2107
500,415,212,0.00546130002476274967,1.22131602876965095206,0.08828650001669302583,1.22131602876965095206,True,500,32,2108
500,86,130,0.00233289995230734348,1.02047782604556913633,0.04136110004037618637,1.02047782604556913633,True,500,33,2109
500,334,166,0.00445659999968484044,0.93366656625635457978,0.04377340001519769430,0.93366656625635457978,True,500,34,2110
500,498,130,0.00244999997084960341,0.90295684874257520214,0.05822090001311153173,0.90295684874257520214,True,500,35,2111
500,324,240,0.00255949998972937465,1.07287982291383943156,0.03905819996725767851,1.07287982291383943156,True,500,36,2112
